Id,Label,timeset,dominant_topic,color,color_cluster,pub_sum,label_size,node_size,modularity_class
5308,"Oldewelt, H. M. J.",,H-Philosophy (6),"#A1887F","#A1887F",3,3,2,6
5325,"Oppenheim, Paul",,A-Language (17),"#80CBC4","#53B6AC",11,3,2,2
5551,"Piaget, Jean",,H-Philosophy (6),"#A1887F","#A1887F",5,2,1,6
5645,"Popper, Karl R.",,C-Confirmation (20),"#DCEDC8","#AED681",22,4,2,2
5788,"Ramsperger, A. G.",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,6
5799,"Rapoport, Anatol",,H-Classics (24),"#D8CCC7","#A1887F",5,2,1,5
5803,"Rashevsky, N.",,G-Particles (3),"#F3AA91","#EF8864",7,6,2,0
5812,"Ratner, Sidney",,H-History (0),"#BCAAA4","#A1887F",3,3,2,1
5817,"Rautenstrauch, Walter",,H-History (0),"#BCAAA4","#A1887F",2,2,1,1
5818,"Raven, Chr. P.",,H-Philosophy (6),"#A1887F","#A1887F",3,2,1,6
5826,"Reach, K.",,A-Language (17),"#80CBC4","#53B6AC",2,2,1,2
5851,"Reichenbach, Hans",,A-Language (17),"#80CBC4","#53B6AC",23,19,4,2
5861,"Reiser, Oliver L.",,H-History (0),"#BCAAA4","#A1887F",8,4,2,1
5888,"Reymond, Arnold",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,6
5944,"Rispens, J. A.",,H-History (0),"#BCAAA4","#A1887F",2,2,1,1
5953,"Robbers, H.",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,6
6003,"Rogosin, H.",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,1
6079,"Rougier, Louis",,H-Philosophy (6),"#A1887F","#A1887F",4,4,2,2
6122,"Rusk, George Yeisley",,H-Philosophy (6),"#A1887F","#A1887F",3,3,2,6
6296,"Schlick, Moritz",,A-Language (17),"#80CBC4","#53B6AC",10,8,3,2
6333,"Schoenmaekers, M. H. J.",,H-Philosophy (6),"#A1887F","#A1887F",23,23,5,6
6391,"Schächter, Josef",,A-Language (17),"#80CBC4","#53B6AC",6,5,2,2
6428,"Seifriz, William",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,0
6433,"Sellars, Roy Wood",,H-Philosophy (6),"#A1887F","#A1887F",6,3,2,6
6434,"Sellars, Wilfrid",,A-Language (17),"#80CBC4","#53B6AC",11,2,1,2
6450,"Servien, Pius",,A-Mathematical (15),"#53B6AC","#53B6AC",3,2,1,2
6584,"Simpson, George",,H-Social (18),"#8D6E63","#A1887F",2,2,1,1
6590,"Singer, Edgar A.",,H-Philosophy (6),"#A1887F","#A1887F",4,2,1,6
6597,"Sisson, Edward O.",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,6
6657,"Smith, Henry Bradford",,A-Truth (23),"#439788","#53B6AC",4,4,2,4
6668,"Smith, Mapheus",,H-Philosophy (6),"#A1887F","#A1887F",4,4,2,6
6706,"Somerville, John",,H-History (0),"#BCAAA4","#A1887F",8,7,3,1
6836,"Stern, Axel L.",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,6
6885,"Storer, Thomas",,A-Language (17),"#80CBC4","#53B6AC",4,2,1,2
6894,"Strauss, Martin",,A-Language (17),"#80CBC4","#53B6AC",9,7,3,2
7030,"Tarski, Alfred",,A-Language (17),"#80CBC4","#53B6AC",2,2,1,2
7047,"Taylor, Richard",,E-Mind (11),"#FDF176","#FDF176",3,2,1,1
7152,"Tolman, Edward Chace",,E-Mind (11),"#FDF176","#FDF176",2,2,1,6
7271,"Ushenko, A. P.",,H-Philosophy (6),"#A1887F","#A1887F",3,2,1,7
7296,"Van Brakell Buys, W. R.",,H-Philosophy (6),"#A1887F","#A1887F",4,4,2,6
7299,"Van Dantzig, D.",,A-Language (17),"#80CBC4","#53B6AC",5,3,2,2
7331,"Van Hinloopen Labberton, D.",,H-Philosophy (6),"#A1887F","#A1887F",3,3,2,6
7347,"Van Os, Ch. H.",,H-Philosophy (6),"#A1887F","#A1887F",4,4,2,6
7378,"Vavilov, Sergei I.",,H-History (0),"#BCAAA4","#A1887F",3,3,2,1
7425,"Vivas, Eliseo",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,6
7436,"Von Bertalanffy, Ludwig",,H-Philosophy (6),"#A1887F","#A1887F",3,2,1,0
7481,"Waismann, Friedrich",,A-Language (17),"#80CBC4","#53B6AC",8,8,3,2
7519,"Walter, Emil J.",,H-History (0),"#BCAAA4","#A1887F",7,6,2,1
7555,"Waters, Bruce",,A-Language (17),"#80CBC4","#53B6AC",2,2,1,2
7625,"Weiss, Paul",,E-Mind (11),"#FDF176","#FDF176",3,3,2,1
7649,"Werkmeister, W. H.",,H-Philosophy (6),"#A1887F","#A1887F",6,4,2,6
7681,"White, Leslie A.",,H-History (0),"#BCAAA4","#A1887F",3,3,2,1
7689,"Whitrow, G. J.",,H-Classics (24),"#D8CCC7","#A1887F",8,2,1,5
7705,"Wiener, Norbert",,H-Philosophy (6),"#A1887F","#A1887F",5,4,2,6
7720,"Wilkie, J. S.",,F-Causation (19),"#FFDFAC","#F4B74C",2,2,1,8
7725,"Will, Frederick L.",,H-Philosophy (6),"#A1887F","#A1887F",4,3,2,2
7730,"Williams, Donald C.",,C-Confirmation (20),"#DCEDC8","#AED681",4,4,2,2
7731,"Williams, Elgin",,H-History (0),"#BCAAA4","#A1887F",2,2,1,1
7769,"Winn, Ralph B.",,H-Philosophy (6),"#A1887F","#A1887F",3,3,2,6
7777,"Winthrop, Henry",,C-Experiment (12),"#C5E2A5","#AED681",2,2,1,9
7792,"Witzemann, Edgar J.",,G-Particles (3),"#F3AA91","#EF8864",3,3,2,0
7802,"Wolf, Herman",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,6
7805,"Wolff, Kurt H.",,H-Philosophy (6),"#A1887F","#A1887F",3,2,1,1
7826,"Woodger, J. H.",,A-Language (17),"#80CBC4","#53B6AC",6,2,1,2
7963,"Zilsel, Edgar",,H-History (0),"#BCAAA4","#A1887F",4,4,2,0
