Id,Label,timeset,dominant_topic,color,color_cluster,pub_sum,pub_weighted,pub_w_4,filter_>=2,label_size,node_size,modularity_class,eigencentrality,clustering,triangles
152,"Andreasen, Robin O.",,E-Evolution (5),"#FEFAC4","#FDF176",2,,,,2,1,25,0.208631,0.865225,2401
156,"Angel, Leonard",,G-Quantum (14),"#EF8864","#EF8864",3,,,,3,2,26,0.907673,0.89899,4361
158,"Angelides, Alexei",,A-Language (17),"#80CBC4","#53B6AC",2,,,,2,1,12,0.002306,0.755556,34
161,"Angner, Erik",,D-Agent-decision (8),"#DCE875","#DCE875",2,,,,2,1,24,0.004418,0.509091,28
163,"Ankeny, Rachel A.",,E-Evolution (5),"#FEFAC4","#FDF176",7,,,,5,2,25,0.073647,0.588235,330
165,"Anstey, Peter R.",,H-Classics (24),"#D8CCC7","#A1887F",3,,,,3,2,2,0.007365,0.849802,215
168,"Antonopoulos, Constantin",,G-Quantum (14),"#EF8864","#EF8864",3,,,,3,2,26,0.86596,0.834841,3968
170,"Antony, Michael V.",,F-Property (2),"#F4B74C","#F4B74C",2,,,,2,1,4,0.092688,0.804706,1026
179,"Arabatzis, Theodore",,H-Social (18),"#8D6E63","#A1887F",5,,,,4,2,19,0.064419,0.820296,776
190,"Arenhart, Jonas Rafael Becker",,F-Property (2),"#F4B74C","#F4B74C",5,,,,4,2,4,0.092798,0.749306,810
192,"Ariew, André",,E-Evolution (5),"#FEFAC4","#FDF176",5,,,,3,2,25,0.212508,0.827173,2484
195,"Armendt, Brad",,D-Agent-decision (8),"#DCE875","#DCE875",6,,,,2,1,24,0.040118,0.561905,354
203,"Arntzenius, Frank",,G-Quantum (14),"#EF8864","#EF8864",14,,,,5,2,26,0.808051,0.903344,3458
214,"Artiga, Marc",,E-Mind (11),"#FDF176","#FDF176",2,,,,2,1,13,0.006169,0.516484,47
215,"Asay, Jamin",,B-Scientific-theory (1),"#66BC6A","#81C884",5,,,,5,2,22,0.005427,0.769231,60
224,"Atkinson, David",,C-Probability (9),"#AED681","#AED681",11,,,,6,3,15,0.066063,0.841546,871
236,"Aufrecht, Monica",,H-Social (18),"#8D6E63","#A1887F",2,,,,2,1,19,0.094054,0.679881,1595
239,"Austin, Christopher J.",,E-Evolution (5),"#FEFAC4","#FDF176",2,,,,2,1,25,0.067714,0.699507,284
243,"Auyang, Sunny Y.",,G-Quantum (14),"#EF8864","#EF8864",2,,,,2,1,26,0.037424,0.8,8
246,"Avnur, Yuval",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.614193,0.813046,4188
248,"Awodey, Steve",,A-Language (17),"#80CBC4","#53B6AC",3,,,,2,1,12,0.004163,0.514286,54
256,"Azzouni, Jody",,B-Arguments (22),"#97D8A3","#81C884",6,,,,5,2,22,0.005425,0.275,33
257,"Babich, Babette E.",,H-Social (18),"#8D6E63","#A1887F",3,,,,3,2,19,0.072043,0.522475,988
274,"Baetu, Tudor M.",,E-Evolution (5),"#FEFAC4","#FDF176",9,,,,9,3,25,0.11651,0.620392,791
285,"Bain, Jonathan",,G-Quantum (14),"#EF8864","#EF8864",6,,,,6,2,26,0.972425,0.815397,4978
290,"Baker, Alan",,A-Mathematical (15),"#53B6AC","#53B6AC",6,,,,6,2,12,0.005675,0.657143,69
291,"Baker, David John",,G-Quantum (14),"#EF8864","#EF8864",6,,,,5,2,26,0.979613,0.827191,5050
295,"Baker, Lynne Rudder",,A-Sentence (7),"#4BA69A","#53B6AC",4,,,,2,1,5,0.086662,0.640523,98
298,"Balaguer, Mark",,B-Arguments (22),"#97D8A3","#81C884",4,,,,3,2,17,0.028334,0.582583,388
300,"Balashov, Yury V.",,F-Property (2),"#F4B74C","#F4B74C",5,,,,2,1,4,0.136084,0.678766,1122
310,"Ballantyne, Nathan",,B-Knowledge (21),"#81C884","#81C884",3,,,,3,2,5,0.590342,0.782626,3874
312,"Ballarin, Roberta",,F-Causation (19),"#FFDFAC","#F4B74C",2,,,,2,1,9,0.019537,0.57971,160
317,"Baltag, Alexandru",,A-Truth (23),"#439788","#53B6AC",5,,,,2,2,12,0.033919,0.721254,621
319,"Baltimore, Joseph A.",,F-Property (2),"#F4B74C","#F4B74C",2,,,,2,1,4,0.119901,0.757123,1674
320,"Balzer, Wolfgang",,A-Formal (4),"#B2DFDB","#53B6AC",26,,,,5,2,12,0.002443,0.5,14
323,"Bandyopadhyay, Prasanta S.",,C-Probability (9),"#AED681","#AED681",9,,,,4,2,9,0.010503,0.368421,63
325,"Bangu, Sorin Ioan",,F-Explanation (16),"#F7CD7F","#F4B74C",7,,,,7,3,13,0.002294,0.266667,4
326,"Banks, Erik C.",,H-Philosophy (6),"#A1887F","#A1887F",2,,,,2,1,19,0.00126,1,15
331,"Bar-On, Dorit",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.135569,0.672365,236
346,"Barker, Matthew J.",,E-Evolution (5),"#FEFAC4","#FDF176",3,,,,3,2,25,0.213073,0.808828,2492
355,"Barnes, Eric",,F-Explanation (16),"#F7CD7F","#F4B74C",10,,,,3,2,15,0.003836,0.25,7
356,"Barnes, Eric Christian",,B-Knowledge (21),"#81C884","#81C884",5,,,,5,2,15,0.013816,0.30303,20
362,"Baron, Sam",,B-Arguments (22),"#97D8A3","#81C884",8,,,,8,3,4,0.037076,0.550725,152
365,"Barrett, David A.",,E-Neurosciences (13),"#DCE875","#FDF176",2,,,,2,1,13,0.023324,0.539313,487
366,"Barrett, Jeffrey Alan",,G-Quantum (14),"#EF8864","#EF8864",22,,,,19,4,26,0.837719,0.946629,3707
370,"Barrett, Thomas William",,A-Formal (4),"#B2DFDB","#53B6AC",3,,,,2,1,26,0.291235,0.75873,478
371,"Barrios, Edison",,A-Language (17),"#80CBC4","#53B6AC",2,,,,2,1,17,0.002688,0.9,9
372,"Barros, D. Benjamin",,E-Evolution (5),"#FEFAC4","#FDF176",2,,,,2,1,25,0.055937,0.750988,190
375,"Bartelborth, Thomas",,F-Explanation (16),"#F7CD7F","#F4B74C",6,,,,5,2,9,0.004591,0.642857,18
376,"Bartels, Andreas",,G-Quantum (14),"#EF8864","#EF8864",7,,,,4,2,26,0.689849,0.716133,2437
378,"Bartha, Paul",,C-Probability (9),"#AED681","#AED681",6,,,,4,2,15,0.084947,0.667163,1345
393,"Bassler, O. Bradley",,A-Mathematical (15),"#53B6AC","#53B6AC",2,,,,2,1,12,0.015522,0.554054,369
399,"Batens, Diderik",,A-Truth (23),"#439788","#53B6AC",4,,,,2,2,12,0.040849,0.672157,857
402,"Batitsky, Vadim",,A-Formal (4),"#B2DFDB","#53B6AC",4,,,,4,2,12,0.002855,0.444444,16
405,"Batterman, Robert W.",,G-Quantum (14),"#EF8864","#EF8864",17,,,,10,3,13,0.02456,0.463203,107
413,"Baumann, Peter",,B-Knowledge (21),"#81C884","#81C884",9,,,,9,3,5,0.608331,0.780887,4102
416,"Baumgartner, Michael",,F-Causation (19),"#FFDFAC","#F4B74C",11,,,,9,3,9,0.01106,0.737892,259
417,"Baumslag, David",,H-Social (18),"#8D6E63","#A1887F",2,,,,2,1,19,0.082094,0.677049,1239
431,"Beatty, John H.",,E-Evolution (5),"#FEFAC4","#FDF176",10,,,,3,2,25,0.153178,0.873401,1297
436,"Beavers, Anthony F.",,H-History (0),"#BCAAA4","#A1887F",2,,,,2,1,19,0.007739,0.577778,26
437,"Bechtel, P. William",,E-Neurosciences (13),"#DCE875","#FDF176",26,,,,12,3,13,0.024499,0.608637,451
443,"Becker, Kelly",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.582867,0.815077,3795
451,"Bedard, Katherine",,G-Quantum (14),"#EF8864","#EF8864",2,,,,2,1,26,0.949673,0.855705,4762
453,"Bedau, Mark A.",,F-Explanation (16),"#F7CD7F","#F4B74C",3,,,,2,2,25,0.05812,0.417497,377
456,"Beebe, James R.",,B-Knowledge (21),"#81C884","#81C884",5,,,,5,2,5,0.398946,0.935484,1769
463,"Beisbart, Claus",,G-Quantum (14),"#EF8864","#EF8864",6,,,,5,2,26,0.332499,0.821862,609
464,"Beiser, Frederick",,H-Philosophy (6),"#A1887F","#A1887F",2,,,,2,1,19,0.004337,0.507353,69
468,"Belkind, Ori",,H-Classics (24),"#D8CCC7","#A1887F",2,,,,2,1,2,0.007439,0.768116,212
477,"Bellotti, Luca",,A-Language (17),"#80CBC4","#53B6AC",4,,,,3,2,12,0.004348,0.450549,41
479,"Belnap, Nuel",,F-Causation (19),"#FFDFAC","#F4B74C",9,,,,4,2,9,0.009017,0.699605,177
480,"Belot, Gordon",,G-Quantum (14),"#EF8864","#EF8864",13,,,,10,3,26,1,0.760829,5252
481,"Belousek, Darrin W.",,G-Quantum (14),"#EF8864","#EF8864",3,,,,3,2,26,0.873505,0.865765,4031
486,"Ben-Menahem, Yemima",,B-Arguments (22),"#97D8A3","#81C884",7,,,,3,2,12,0.003301,0.409524,43
505,"Beni, Majid Davoody",,E-Neurosciences (13),"#DCE875","#FDF176",3,,,,3,2,13,0.000912,1,1
521,"Benétreau-Dupin, Yann",,C-Probability (9),"#AED681","#AED681",2,,,,2,1,15,0.087585,0.735615,1483
541,"Berkovitz, Joseph",,C-Probability (9),"#AED681","#AED681",3,,,,2,1,15,0.055285,0.876245,616
546,"Bermúdez, José Luis",,D-Agent-decision (8),"#DCE875","#DCE875",2,,,,2,1,24,0.009081,0.908497,139
548,"Bernecker, Sven",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.572805,0.819933,3661
555,"Berry, Sharon",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.081514,0.602941,82
570,"Betz, Gregor",,A-Truth (23),"#439788","#53B6AC",9,,,,9,3,12,0.001898,0.4,4
572,"Beyer, Christian",,A-Sentence (7),"#4BA69A","#53B6AC",2,,,,2,1,17,0.021522,0.913978,425
575,"Bhakthavatsalam, Sindhuja",,B-Scientific-theory (1),"#66BC6A","#81C884",3,,,,3,2,22,0.020315,0.732804,277
583,"Bicchieri, Cristina",,D-Agent-decision (8),"#DCE875","#DCE875",9,,,,2,1,24,0.018317,0.68254,430
586,"Bickle, John",,E-Neurosciences (13),"#DCE875","#FDF176",5,,,,3,2,13,0.020259,0.684492,384
587,"Biddle, Justin B.",,H-Social (18),"#8D6E63","#A1887F",6,,,,6,2,19,0.092828,0.658142,1544
590,"Bigaj, Tomasz",,F-Causation (19),"#FFDFAC","#F4B74C",6,,,,6,2,9,0.009592,0.652174,165
600,"Birch, Jonathan",,E-Evolution (5),"#FEFAC4","#FDF176",4,,,,4,2,25,0.1601,0.855414,1414
602,"Bird, Alexander",,F-Property (2),"#F4B74C","#F4B74C",10,,,,10,3,22,0.003235,0.333333,1
612,"Bishop, Michael A.",,B-Arguments (22),"#97D8A3","#81C884",7,,,,5,2,22,0.005778,0.533333,56
613,"Bishop, Robert C.",,G-Quantum (14),"#EF8864","#EF8864",4,,,,4,2,26,0.818869,0.829593,3549
619,"Blachowicz, James A.",,C-Confirmation (20),"#DCEDC8","#AED681",9,,,,4,2,15,0.000712,0.333333,2
625,"Blackburn, Patrick",,A-Truth (23),"#439788","#53B6AC",4,,,,3,2,12,0.044256,0.580201,926
645,"Bloor, David",,B-Arguments (22),"#97D8A3","#81C884",10,,,,4,2,19,0.043788,0.804301,374
671,"Bogdan, Radu J.",,E-Mind (11),"#FDF176","#FDF176",3,,,,2,1,13,0.004252,0.95,114
672,"Bogen, James",,C-Experiment (12),"#C5E2A5","#AED681",10,,,,6,2,9,0.00033,0,0
680,"Bokulich, Alisa",,F-Explanation (16),"#F7CD7F","#F4B74C",7,,,,7,3,13,0.043991,0.490028,172
681,"Bokulich, Peter",,G-Quantum (14),"#EF8864","#EF8864",3,,,,3,2,26,0.991733,0.788711,5170
686,"Bolinska, Agnes",,F-Explanation (16),"#F7CD7F","#F4B74C",2,,,,2,1,13,0.019365,0.645378,384
693,"Bonanno, Giacomo",,A-Formal (4),"#B2DFDB","#53B6AC",2,,,,2,1,12,0.026665,0.598862,421
696,"Bonilla, Jesús P. Zamora",,B-Scientific-theory (1),"#66BC6A","#81C884",7,,,,6,2,22,0.000698,1,1
697,"Boniolo, Giovanni",,H-Classics (24),"#D8CCC7","#A1887F",4,,,,2,1,25,0.004254,0.333333,1
706,"Bontly, Thomas D.",,E-Neurosciences (13),"#DCE875","#FDF176",2,,,,2,1,4,0.010619,0.417582,38
712,"Boon, Mieke",,F-Explanation (16),"#F7CD7F","#F4B74C",5,,,,3,2,13,0.008478,0.444444,68
713,"Boone, Worth",,E-Neurosciences (13),"#DCE875","#FDF176",3,,,,2,1,13,0.011182,0.463333,139
715,"Boos, William",,A-Formal (4),"#B2DFDB","#53B6AC",8,,,,5,2,12,0.006554,0.626374,57
716,"Booth, Anthony Robert",,B-Knowledge (21),"#81C884","#81C884",5,,,,5,2,5,0.609398,0.81901,4136
725,"Borges, Rodrigo",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.601676,0.868342,4043
736,"Boschetti, Fabio",,E-Neurosciences (13),"#DCE875","#FDF176",2,,,,2,1,13,0.002929,0.9,9
740,"Bostrom, Nick",,C-Probability (9),"#AED681","#AED681",3,,,,3,2,15,0.085573,0.746166,1411
747,"Bouchard, Frédéric",,E-Evolution (5),"#FEFAC4","#FDF176",3,,,,2,1,25,0.211793,0.842447,2465
756,"Boumans, Marcel",,C-Experiment (12),"#C5E2A5","#AED681",6,,,,4,2,9,0.020334,0.544538,324
762,"Bourrat, Pierrick",,E-Evolution (5),"#FEFAC4","#FDF176",3,,,,2,1,25,0.212293,0.823843,2474
764,"Bovens, Luc",,C-Probability (9),"#AED681","#AED681",7,,,,3,2,15,0.072925,0.628283,933
786,"Brading, Katherine",,G-Quantum (14),"#EF8864","#EF8864",6,,,,5,2,26,0.196499,0.650794,246
787,"Bradley, Darren J.",,C-Probability (9),"#AED681","#AED681",6,,,,6,2,15,0.089275,0.717308,1492
791,"Bradley, Richard",,C-Probability (9),"#AED681","#AED681",12,,,,9,3,15,0.078942,0.711434,1176
792,"Bradley, Seamus",,A-Formal (4),"#B2DFDB","#53B6AC",5,,,,3,2,15,0.025744,0.433498,176
797,"Brain, Robert Michael",,H-History (0),"#BCAAA4","#A1887F",2,,,,2,1,19,0.015093,0.563492,213
805,"Brandon, Robert N.",,E-Evolution (5),"#FEFAC4","#FDF176",14,,,,3,2,25,0.208223,0.840702,2396
817,"Bremer, Manuel E.",,A-Truth (23),"#439788","#53B6AC",3,,,,2,1,1,0,0,0
818,"Brendel, Elke",,B-Knowledge (21),"#81C884","#81C884",5,,,,3,2,5,0.52462,0.908022,3090
823,"Brenner, Andrew",,F-Property (2),"#F4B74C","#F4B74C",2,,,,2,1,4,0.122465,0.727831,1658
826,"Breuer, Thomas",,G-Quantum (14),"#EF8864","#EF8864",4,,,,3,2,26,0.935928,0.88083,4627
827,"Brewer, William F.",,C-Experiment (12),"#C5E2A5","#AED681",4,,,,2,1,9,0.004085,0.75,21
831,"Bridger, Mark",,G-Quantum (14),"#EF8864","#EF8864",5,,,,2,1,26,0.918809,0.866822,4465
834,"Brigandt, Ingo",,E-Evolution (5),"#FEFAC4","#FDF176",5,,,,4,2,25,0.185798,0.804774,1888
835,"Briggs, Rachael",,F-Property (2),"#F4B74C","#F4B74C",2,,,,2,1,4,0.10343,0.910015,1254
836,"Brighouse, Carolyn",,G-Quantum (14),"#EF8864","#EF8864",4,,,,3,2,26,0.672433,0.694093,2362
844,"Brittan, Gordon G.",,B-Arguments (22),"#97D8A3","#81C884",8,,,,3,2,15,0.005378,0.285714,6
855,"Brogaard, Berit",,B-Knowledge (21),"#81C884","#81C884",4,,,,4,2,5,0.148468,0.780627,274
858,"Broncano-Berrocal, Fernando",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.550887,0.914461,3421
869,"Brown, Campbell",,B-Arguments (22),"#97D8A3","#81C884",3,,,,3,2,5,0.118219,0.498575,175
875,"Brown, Harold I.",,B-Arguments (22),"#97D8A3","#81C884",14,,,,2,1,22,0.004171,0.8,12
876,"Brown, Harvey R.",,G-Quantum (14),"#EF8864","#EF8864",10,,,,3,2,26,0.979689,0.827355,5051
878,"Brown, James Robert",,B-Arguments (22),"#97D8A3","#81C884",13,,,,3,2,12,0.001631,0.7,7
882,"Brown, Matthew J.",,H-Social (18),"#8D6E63","#A1887F",6,,,,6,2,19,0.068333,0.873737,865
889,"Brueckner, Anthony",,B-Knowledge (21),"#81C884","#81C884",4,,,,4,2,5,0.581459,0.776129,3765
893,"Brun, Georg",,A-Language (17),"#80CBC4","#53B6AC",3,,,,3,2,12,0.009033,0.324675,75
894,"Bruner, Justin P.",,D-Agent-decision (8),"#DCE875","#DCE875",6,,,,3,2,24,0.013202,0.717949,252
898,"Brush, Stephen G.",,G-Particles (3),"#F3AA91","#EF8864",7,,,,4,2,13,0.003279,0.824176,75
906,"Brössel, Peter",,C-Probability (9),"#AED681","#AED681",6,,,,5,2,15,0.064458,0.787234,851
910,"Bub, Jeffrey",,G-Quantum (14),"#EF8864","#EF8864",12,,,,2,1,26,0.802561,0.957423,3418
921,"Buckner, Cameron",,E-Neurosciences (13),"#DCE875","#FDF176",3,,,,2,2,13,0.026822,0.437863,377
929,"Bueno, Otávio",,A-Formal (4),"#B2DFDB","#53B6AC",20,,,,14,4,12,0.001556,0.333333,7
951,"Burgess, Simon",,D-Agent-decision (8),"#DCE875","#DCE875",2,,,,2,1,24,0.019722,0.655556,413
959,"Burnston, Daniel C.",,E-Neurosciences (13),"#DCE875","#FDF176",4,,,,3,2,13,0.02236,0.573171,470
968,"Busch, Jacob",,B-Scientific-theory (1),"#66BC6A","#81C884",7,,,,7,3,22,0.014482,0.677362,380
981,"Butler, Keith",,E-Neurosciences (13),"#DCE875","#FDF176",5,,,,2,1,4,0.025801,0.549708,94
983,"Butterfield, Jeremy N.",,G-Quantum (14),"#EF8864","#EF8864",20,,,,8,3,26,0.947531,0.849775,4729
985,"Button, Tim",,A-Formal (4),"#B2DFDB","#53B6AC",2,,,,2,1,12,0.001606,0.466667,7
989,"Buzzoni, Marco",,H-Philosophy (6),"#A1887F","#A1887F",6,,,,6,2,19,0.002812,0.857143,24
992,"Byrd, Jeremy Allen",,B-Arguments (22),"#97D8A3","#81C884",2,,,,2,1,24,0.011719,0.621212,41
997,"Bächtold, Manuel",,G-Quantum (14),"#EF8864","#EF8864",2,,,,2,1,26,0.904924,0.859604,4341
1000,"Båve, Arvid",,A-Sentence (7),"#4BA69A","#53B6AC",4,,,,4,2,17,0.037955,0.538824,687
1001,"Béziau, Jean-Yves",,A-Truth (23),"#439788","#53B6AC",3,,,,3,2,12,0.000599,0.333333,1
1006,"Böök, Lukas",,H-Philosophy (6),"#A1887F","#A1887F",2,,,,2,1,19,0.000458,1,1
1020,"Calcott, Brett",,E-Evolution (5),"#FEFAC4","#FDF176",3,,,,2,1,25,0.099281,0.640592,606
1023,"Callender, Craig",,G-Quantum (14),"#EF8864","#EF8864",12,,,,7,3,26,0.994891,0.766578,5202
1024,"Callergård, Robert",,H-Classics (24),"#D8CCC7","#A1887F",2,,,,2,1,2,0.007772,0.773333,232
1027,"Cameron, Ross Paul",,F-Property (2),"#F4B74C","#F4B74C",5,,,,5,2,4,0.128572,0.768944,1857
1028,"Camilleri, Kristian",,H-Classics (24),"#D8CCC7","#A1887F",3,,,,3,2,2,0.00445,0.857143,78
1034,"Campbell, Neil",,E-Perception (10),"#F9D849","#FDF176",5,,,,5,2,13,0.003669,0.736264,67
1041,"Caneva, Kenneth L.",,H-Social (18),"#8D6E63","#A1887F",2,,,,2,1,19,0.097614,0.644977,1695
1047,"Cantwell, John",,A-Truth (23),"#439788","#53B6AC",5,,,,5,2,12,0.037819,0.633816,656
1051,"Cao, Tian Yu",,G-Quantum (14),"#EF8864","#EF8864",5,,,,4,2,26,0.067429,0.461538,36
1070,"Cariani, Fabrizio",,D-Agent-decision (8),"#DCE875","#DCE875",3,,,,2,2,12,0.014762,0.470356,119
1078,"Carman, Christián Carlos",,H-Classics (24),"#D8CCC7","#A1887F",4,,,,4,2,2,0.007914,0.641026,225
1086,"Carrier, Martin",,G-Particles (3),"#F3AA91","#EF8864",16,,,,5,2,19,0.002972,1,1
1088,"Carruthers, Peter",,E-Mind (11),"#FDF176","#FDF176",4,,,,3,2,13,0.006382,0.557971,154
1093,"Carter, J. Adam",,B-Knowledge (21),"#81C884","#81C884",10,,,,7,3,5,0.614193,0.813046,4188
1094,"Carter, Jessica",,A-Mathematical (15),"#53B6AC","#53B6AC",6,,,,6,2,12,0.011259,0.597884,226
1100,"Cartwright, Nancy Delaney",,F-Causation (19),"#FFDFAC","#F4B74C",30,,,,13,4,9,0.011064,0.488172,227
1102,"Carus, A. W.",,A-Language (17),"#80CBC4","#53B6AC",3,,,,2,1,12,0.003031,0.589744,46
1105,"Casini, Lorenzo",,F-Causation (19),"#FFDFAC","#F4B74C",4,,,,4,2,9,0.009147,0.687747,174
1107,"Cassam, Quassim",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.610875,0.82297,4156
1116,"Casullo, Albert",,B-Knowledge (21),"#81C884","#81C884",4,,,,2,1,5,0.590515,0.835911,3892
1117,"Cat, Jordi",,G-Particles (3),"#F3AA91","#EF8864",5,,,,4,2,13,0.000963,0.1,1
1121,"Catterson, Troy",,F-Property (2),"#F4B74C","#F4B74C",2,,,,2,1,4,0.109562,0.811806,1389
1123,"Caulton, Adam",,G-Quantum (14),"#EF8864","#EF8864",4,,,,3,2,26,0.787917,0.824469,3302
1128,"Cellucci, Carlo",,A-Mathematical (15),"#53B6AC","#53B6AC",4,,,,2,1,12,0.00483,0.863636,57
1134,"Cevolani, Gustavo",,A-Truth (23),"#439788","#53B6AC",7,,,,4,2,12,0.006043,0.428571,12
1135,"Chakravartty, Anjan",,B-Arguments (22),"#97D8A3","#81C884",10,,,,10,3,22,0.008826,0.3,63
1136,"Chalmers, Alan F.",,H-Classics (24),"#D8CCC7","#A1887F",18,,,,8,3,2,0.007158,0.766798,194
1141,"Chandler, Jake",,C-Probability (9),"#AED681","#AED681",7,,,,7,3,15,0.06985,0.393237,407
1144,"Chang, Hasok",,G-Particles (3),"#F3AA91","#EF8864",15,,,,10,3,13,0.004577,0.675,81
1145,"Changizi, Mark A.",,A-Formal (4),"#B2DFDB","#53B6AC",3,,,,3,2,12,0.003798,0.509091,28
1149,"Charland, Louis C.",,E-Mind (11),"#FDF176","#FDF176",3,,,,2,1,13,0.005912,0.636364,147
1152,"Charpa, Ulrich",,H-Social (18),"#8D6E63","#A1887F",7,,,,2,1,19,0.040894,0.631016,354
1154,"Chase, James Kennedy",,A-Truth (23),"#439788","#53B6AC",2,,,,2,1,12,0.038654,0.504228,477
1160,"Chemero, Anthony",,E-Neurosciences (13),"#DCE875","#FDF176",4,,,,3,2,13,0.02213,0.603659,495
1163,"Chen, Xiang",,H-Classics (24),"#D8CCC7","#A1887F",12,,,,7,3,3,0,0,0
1174,"Cheung, Leo K. C.",,A-Language (17),"#80CBC4","#53B6AC",3,,,,3,2,12,0.004562,0.368421,63
1179,"Chierchia, Gennaro",,A-Sentence (7),"#4BA69A","#53B6AC",2,,,,2,1,17,0.027283,0.811066,601
1184,"Chimisso, Cristina",,H-Social (18),"#8D6E63","#A1887F",3,,,,3,2,19,0.064678,0.693027,815
1187,"Chirimuuta, M.",,E-Perception (10),"#F9D849","#FDF176",5,,,,5,2,13,0.00544,0.503268,77
1189,"Choi, Sungho",,F-Causation (19),"#FFDFAC","#F4B74C",8,,,,8,3,9,0.015382,0.605072,167
1209,"Churchland, Paul M.",,E-Perception (10),"#F9D849","#FDF176",6,,,,3,2,13,0.003958,0.714286,75
1225,"Clark, Andy",,E-Neurosciences (13),"#DCE875","#FDF176",6,,,,3,2,13,0.005988,0.405263,77
1234,"Clarke, Christopher",,D-Agent-decision (8),"#DCE875","#DCE875",4,,,,4,2,24,0.003684,0.133333,2
1242,"Clarke, Steve",,H-Social (18),"#8D6E63","#A1887F",5,,,,4,2,19,0.071433,0.612987,944
1244,"Clatterbuck, Hayley",,E-Evolution (5),"#FEFAC4","#FDF176",2,,,,2,1,25,0.11337,0.876829,719
1246,"Claveau, François",,C-Experiment (12),"#C5E2A5","#AED681",3,,,,2,1,9,0.01594,0.519328,309
1250,"Cleland, Carol E.",,F-Causation (19),"#FFDFAC","#F4B74C",4,,,,3,2,25,0.001368,0,0
1256,"Clifton, Robert K.",,G-Quantum (14),"#EF8864","#EF8864",13,,,,6,2,26,0.970788,0.843697,4966
